Ngày,L?n cu?i,M?,Cao,Th?p,KL,% Thay ??i
10/1/2023,275,272.7,276.2,270.7,352.34K,0.88%
9/1/2023,272.6,274.7,283.4,271.4,439.02K,-0.73%
8/1/2023,274.6,261.6,274.9,260.3,236.02K,5.09%
7/1/2023,261.3,259.8,263.6,259.4,115.16K,0.54%
6/1/2023,259.9,256.6,260.7,254.9,199.58K,1.29%
5/1/2023,256.6,258.9,259.1,255.3,145.31K,-0.93%
4/1/2023,259,246.3,260.8,245.7,369.98K,5.20%
3/1/2023,246.2,245.3,246.9,244.6,115.08K,0.41%
2/1/2023,245.2,244.4,247.9,241.2,173.48K,0.33%
1/1/2023,244.4,246.3,246.7,243.5,109.54K,-0.69%
31/12/2022,246.1,245.9,247.9,244.9,134.02K,0.12%
30/12/2022,245.8,246.4,246.6,242.8,128.42K,-0.20%
29/12/2022,246.3,244.6,246.7,243.4,162.14K,0.78%
28/12/2022,244.4,246.6,247.1,241.9,208.12K,-0.89%
27/12/2022,246.6,244.7,248.1,242.3,196.71K,0.94%
26/12/2022,244.3,243.2,244.8,242,116.93K,0.45%
25/12/2022,243.2,244.6,245.8,241.5,125.00K,-0.53%
24/12/2022,244.5,246.2,246.2,243.8,96.79K,-0.69%
23/12/2022,246.2,246,248.4,244,175.26K,0.12%
22/12/2022,245.9,246.2,248.2,240.4,246.23K,-0.12%
21/12/2022,246.2,251.4,251.4,245.4,195.05K,-2.07%
20/12/2022,251.4,240.4,253,239.4,320.68K,4.53%
19/12/2022,240.5,251.2,253.2,237.7,408.64K,-4.18%
18/12/2022,251,242.3,253.5,239.7,526.19K,3.72%
17/12/2022,242,231,244,220.5,788.81K,4.72%
16/12/2022,231.1,258.7,264.4,226.1,876.21K,-10.63%
15/12/2022,258.6,267.7,268,256.6,351.46K,-3.40%
14/12/2022,267.7,272.1,278.3,265.8,580.07K,-1.65%
13/12/2022,272.2,276.3,281.2,256.2,1.31M,-1.41%
12/12/2022,276.1,284.3,285.7,272.7,507.66K,-2.95%
11/12/2022,284.5,288.2,291.2,283.5,206.24K,-1.28%
10/12/2022,288.2,286.1,289.8,285.8,148.93K,0.77%
9/12/2022,286,290.6,291.7,285,308.34K,-1.55%
8/12/2022,290.5,284.2,291.7,282.4,281.74K,2.25%
